"Molecule","Molecule name","Atom count","Bond count"
"OCC1(CO)COC1","ZINC000032167188",18,18
"O=C1NC(=O)[C@@]2(CCOC2)N1","ZINC000032195216",19,20
"OCCOC[C@@H](O)CO","ZINC000005178840",21,20
"OCC[C@@H](O)CO","ZINC000001690069",17,16
"OC[C@@H](O)C(O)[C@H](O)CO","ZINC000000895205",22,21
"OC[C@@H]1OC=C[C@H](O)[C@@H]1O","ZINC000002575512",20,20
"OC[C@@H]1O[C@H](O)[C@@H](O)[C@@H]1O","ZINC000012153391",20,20
"OC[C@@H]1O[C@H](O)C[C@H]1O","ZINC000005600727",19,19
"OC[C@@H]1OC[C@H](O)[C@@H](O)[C@H]1O","ZINC000044019244",23,23
"OC[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O","ZINC000001532520",24,24
"OC[C@@]1(O)CO[C@H](O)[C@@H]1O","ZINC000014854290",20,20
"OC[C@@]1(O)OC[C@@H](O)[C@H](O)[C@H]1O","ZINC000000895134",24,24
"OC[C@]1(O)CO[C@@](O)(CO)CO1","ZINC000002510059",24,24
"OC[C@@]1(O)OC[C@@H](O)[C@H]1O","ZINC000000895277",20,20
"OC[C@H](O)[C@@H](O)[C@H](O)CO","ZINC000100018612",22,21
"OC[C@H](O)CN1CCOCC1","ZINC000019419123",26,26
"OC[C@H](O)[C@H](O)CO","ZINC000017971067",18,17
"OC[C@@]12OC[C@@H](O1)[C@@H](O)[C@@H](O)[C@@H]2O","ZINC000015273169",25,26
"C[C@@H]1O[C@@H](O)[C@@H](O)[C@H]1O","ZINC000034164674",19,19
"OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](F)[C@@H]1O","ZINC000003956760",23,23
"OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O","ZINC000003809846",23,23
"OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O","ZINC000003860714",20,20
"OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O","ZINC000003830678",24,24
"OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1F","ZINC000003956764",23,23
"OC[C@H]1SC[C@H](O)[C@@H]1O","ZINC000115123560",19,19
"OC[C@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","ZINC000004097150",24,24
"OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","ZINC000000895350",24,24
"OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H]1O","ZINC000044154410",19,19
"OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","ZINC000000901155",24,24
"OC[C@H]1O[C@H](O)[C@H](O)[C@@H](F)[C@@H]1O","ZINC000004329336",23,23
"OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O","ZINC000002597049",24,24
"OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O","ZINC000003860328",23,23
"OC[C@H]1O[C@@H](O)[C@H](O)[C@H]1F","ZINC000004329338",19,19
"OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","ZINC000003833800",24,24
"OC[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","ZINC000003830679",24,24
"OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O","ZINC000003830878",24,24
"OC[C@]1(O)OC[C@@H](O)[C@H]1O","ZINC000000895279",20,20
"ON1CN(O)CN(O)C1","ZINC000003861679",18,18
"O[C@H]1[C@@H]2O[C@@H]2[C@@H]2OC[C@H]1O2","ZINC000034454837",18,20
"O=C1CN[C@H](CN1)C1NCCCN1","ZINC000669378776",29,30
"O=C1CN[C@H](CN1)C1CNCNC1","ZINC000669379230",29,30
"O=C1CN[C@@H](CN1)C1CNCNC1","ZINC000669379320",29,30
"O=C1CN[C@@H](CN1)C1NCCCN1","ZINC000669378775",29,30
"O[C@H]1NC(=S)N[C@H]1O","ZINC000013739283",14,14
"O[C@H]1[C@@H]2CO[C@@H](O2)[C@@H](O)[C@@H]1O","ZINC000044019236",21,22
"O[C@@H]1OCCO[C@H]1O","ZINC000001688096",16,16
"O[C@H]1[C@@H]2O[C@H]3O[C@H]([C@H](O)[C@@H]1O3)[C@H]2O","ZINC000100056950",23,25
"O[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12","ZINC000018284778",20,21
"O[C@H]1C[C@@H](O)[C@@H](O)CO1","ZINC000004283891",19,19
"O[C@H]1CO[C@@H](O)[C@H](O)[C@@H]1O","ZINC000003861574",20,20
"O[C@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O","ZINC000003581409",20,20
"O[C@H]1OCCO[C@H]1O","ZINC000001688095",16,16
"O[C@H]1OCCO[C@@H]1O","ZINC000001688097",16,16
"O[C@@H]1[C@H]2O[C@H]2[C@@H](O)[C@@H](O)[C@H]1O","ZINC000044831797",21,22
"OCc1nnn(c1CO)-c1nc[nH]n1","ZINC000036559091",22,23
"OC[C@@H]1O[C@H](O)[C@H](F)[C@H](O)[C@@H]1O","ZINC000036533793",23,23
"NC(=O)c1noc(CO)n1","ZINC000040457274",15,15
"O=C1COCC2(CNC2)N1","ZINC000224622274",20,21
"COC(=O)CN1C[C@@H](O)CC1=O","ZINC000038643168",23,23
"OCCNS(=O)(=O)c1cn[nH]c1","ZINC000037745098",21,21
"CNC(=O)CS(C)(=O)=O","ZINC000070187404",18,17
"C[C@@H](OC(=O)CN)[C@H]([NH3+])C(O)=O","ZINC000038202311",24,23
"CN(C)C(=O)CNS(C)(=O)=O","ZINC000070225054",23,22
"CN(C)C(=O)CN(C)S(C)(=O)=O","ZINC000070225043",26,25
"COC(=O)CN1C[C@H](O)CC1=O","ZINC000038643164",23,23
"C[C@@H]1NC(=O)CN(C)C1=O","ZINC000039120640",20,20
"C[C@@H]1NC(=O)[C@H](CO)NC1=O","ZINC000004899708",21,21
"C[NH2+]C[C@H](NC(C)=O)C(O)=O","ZINC000039058198",23,22
"C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","ZINC000001532814",23,23
"C[C@]1(F)[C@@H](O)[C@H](CO)OC1=O","ZINC000035881889",20,20
"OC[C@H]1OCCNC1=O","ZINC000204370431",18,18
"C[C@@H]1CN[C@H](N1)N=N","ZINC000040448186",18,18
"CC[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O","ZINC000226620601",28,29
"NC(=O)c1cnn(CCO)c1N","ZINC000000399507",22,22
"CCO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O","ZINC000040848789",26,26
"O=C1CN(CCn2nccn2)CCN1","ZINC000828312187",27,28
"O[C@H]1[C@@H]2O[C@H]3O[C@H]([C@H](O)[C@@H]1O3)[C@H]2O","ZINC000252695216",23,25
"OC[C@H]1O[C@H](O)[C@@H](F)[C@@H]1O","ZINC000044154413",19,19
"C[C@H](CO)NN","ZINC000074942163",16,15
"OC1(C[NH2+]C1)c1nnn[nH]1","ZINC000049853408",17,18
"C[C@H](O)C(CO)(CO)CO","ZINC000071774120",24,23
"CN1C(=O)[C@H](CO)NC(=O)C1(C)C","ZINC000072233266",27,27
"CNC(=O)[C@@H]1CN(CCN1)C(C)=O","ZINC000072343364",28,28
"CNC(=O)[C@H]1CN(CCN1)C(C)=O","ZINC000072343365",28,28
"O=C1C[C@@H](CN2CCNC(=O)C2)CN1","ZINC000390827688",29,30
"O=C1C[C@H](CN2CCNC(=O)C2)CN1","ZINC000390827689",29,30
"C[C@H](O)C(=O)OC[C@@H](O)CO","ZINC000001718585",23,22
"NC(=O)COn1nnc2cccnc12","ZINC000075260346",21,22
"O=S1(=O)CC[C@@H]2CNCCN12","ZINC000075119100",23,24
"O=S1(=O)CC[C@H]2CNCCN12","ZINC000075119097",23,24
"C[C@@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","ZINC000059065540",23,23
"C[C@@H]1O[C@H](O)[C@H](O)[C@H](O)[C@@H]1O","ZINC000059065544",23,23
"NS(=O)(=O)c1cn[nH]n1","ZINC000078224415",13,13
"C[C@H](O)[C@@H](O)CO","ZINC000002037828",17,16
"CN1CCN(CC1)NCCC(N)=O","ZINC000078506826",31,31
"C[C@H](O)[C@H](O)[C@@H](O)C(=O)CO","ZINC000013508302",23,22
"C[C@H](O)[C@H]1OC(=O)[C@H](O)[C@H]1O","ZINC000000901596",21,21
"O=S1(=O)COCCN1","ZINC000067425249",15,15
"O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1[C@H]2C(=O)NC1=O","ZINC000001585239",20,22
"OC[C@@H](O)[C@H](O)C(=O)[C@H](O)CO","ZINC000008551361",24,23
"CO[C@@H]1[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O","ZINC000100055842",27,27
"OC[C@H](O)[C@H]1OC[C@H](O)[C@@H]1O","ZINC000071774324",23,23
"COC(=O)[C@@H]1CS(=O)(=O)N1","ZINC000238342643",17,17
"COC(=O)[C@H]1CS(=O)(=O)N1","ZINC000238334791",17,17
"CNC(=O)C[C@@H]1NCCNC1=O","ZINC000085205433",25,25
"OCc1cnnn1-c1no[nH]\c1=N/O","ZINC000075253124",20,21
"CNC(=O)C[C@H]1NCCNC1=O","ZINC000085205432",25,25
"OC[C@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","ZINC000004095659",24,24
"CC(CO)(CO)CO","ZINC000000392000",20,19
"CCOCn1nnc(C(N)=O)c1N","ZINC000098095314",24,24
"CN1CCN(CC1)[C@@H]1CC(=O)NC1=O","ZINC000100903659",29,30
"CC1(C)N(CC(N)=O)C(=O)NC1=O","ZINC000068593266",24,24
"C[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","ZINC000001532677",23,23
"C[C@H]1O[C@H](O)C[C@H](O)[C@@H]1O","ZINC000003860368",22,22
"CN1CC[NH2+]C[C@@H]1C(O)=O","ZINC000089223304",22,22
"CN1CC[NH2+]C[C@H]1C(O)=O","ZINC000089223309",22,22
"C[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1O","ZINC000003870034",23,23
"C[C@@H]1O[C@H](O)[C@@H](O)[C@H]1O","ZINC000095921608",19,19
"O[C@@H]1[C@@H]2CO[C@@H](O2)[C@@H](O)[C@@H]1O","ZINC000096031237",21,22
"OCC[C@H]1CS(=O)(=O)CCN1","ZINC000094512656",24,24
"OCC[C@@H]1CS(=O)(=O)CCN1","ZINC000094512657",24,24
"C[NH+](C)C[C@@H](O)S(O)(O)O","ZINC000095093158",21,20
"C[NH+](C)C[C@H](O)S(O)(O)O","ZINC000095093159",21,20
"CNC(=O)C[C@@H]1C(=O)Nc2ncnn12","ZINC000095117658",23,24
"[NH3+][C@@H](CO)c1nnn[nH]1","ZINC000095122090",16,16
"[NH3+][C@H](CO)c1nnn[nH]1","ZINC000095122092",16,16
"CNC(=O)C[C@H]1C(=O)Nc2ncnn12","ZINC000095117659",23,24
"C[C@@]1(F)[C@H](O)[C@@H](CO)OC1=O","ZINC000095644312",20,20
"OC[C@H](O)[C@H](O)[C@H](O)CO","ZINC000100014205",22,21
"O=C1CNC(=O)[C@@]2(CCOC2)N1","ZINC000409429521",22,23
"C[C@@]1(O)[C@H](O)[C@@H](CO)OC1=O","ZINC000008613033",21,21
"O=C1CNC(=O)[C@]2(CCOC2)N1","ZINC000409429520",22,23
"C[C@]1(O)CS(=O)(=O)C[C@]1(C)O","ZINC000004484358",23,23
"CC1(C)NC(=O)[C@@H]2C[C@@H](O)CN2C1=O","ZINC000205361313",28,29
"OC[C@@H]1OCCNC1=O","ZINC000204370443",18,18
"Cc1[nH]c(=O)[nH]c(=O)c1N","ZINC000000399478",17,17
"CC1(C)NC(=O)[C@H](CO)NC1=O","ZINC000096675749",24,24
"CC1(C)NC(=O)[C@@H](CO)NC1=O","ZINC000096675748",24,24
"Cc1[nH]n(C(N)=[NH2+])c(=O)c1CCO","ZINC000005955265",25,25
"CN1C(=O)C[C@@H](O)C1=O","ZINC000097125340",16,16
"[NH3+]CCn1cc(C(O)=O)c(=O)[nH]c1=O","ZINC000409442645",23,23
"CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","ZINC000100016113",27,27
"CN1C(=O)C[C@@H](N)C1=O","ZINC000100181391",17,17
"NN1CC(O)C1","ZINC000107114185",14,14
"OC[C@H](O)[C@H]1OC(=O)[C@H](O)[C@@H]1O","ZINC000100510458",22,22
"CS(=O)(=O)NC[C@H]1COCCN1","ZINC000112952325",26,26
"CS(=O)(=O)NC[C@@H]1COCCN1","ZINC000112952323",26,26
"CO[C@@H]1O[C@H]2[C@@H](O)C(=O)O[C@H]2[C@H]1O","ZINC000101135492",23,24
"Cc1nc(C(N)=O)c([nH]1)C(N)=O","ZINC000039132931",20,20
"CN1CCN(CC1)[C@@H]1COC[C@H]1O","ZINC000104508112",31,32
"CNC(=O)c1[nH]nnc1N","ZINC000104558531",17,17
"C[C@H](O)[C@H]1OC(=O)[C@H](O)[C@@H]1O","ZINC000105059442",21,21
"CNC(=O)c1nn(C)nc1C(=O)NC","ZINC000670422536",25,25
"CNCc1nnc2C(=O)NCCn12","ZINC000585139461",24,25
"CO[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]1O","ZINC000108475601",27,27
"COC(=O)Cn1[nH]cnc1=N","ZINC000585122783",19,19
"CN1CCn2c(CN)nnc2C1=O","ZINC000585139241",24,25
"C[n+]1cn(NN(=O)=O)cn1","ZINC000585681205",15,15
"OC1(CC[NH2+]CC1)c1nnn[nH]1","ZINC000170617745",23,24
"CCC(C(N)=O)C(N)=O","ZINC000001627216",19,18
"CN(C)CC(=O)N1CCC(=O)N1","ZINC000675070216",25,25
"COCC(=O)N1CCC(=O)N1","ZINC000675070406",21,21
"CCn1c(=O)cc(N)n(CCO)c1=O","ZINC000000399843",27,27
"CCC1(CO)C(=O)NC(=O)NC1=O","ZINC000238232327",23,23
"OC[C@H](O)[C@H]1OC(=O)[C@H](O)[C@H]1O","ZINC000100510453",22,22
"NC(=O)[C@H]1C[C@H](O)C[C@H](N1)C(N)=O","ZINC000247752368",26,26
"Nc1cn(C[C@H](O)CO)cn1","ZINC000685951062",22,22
"Nc1cn(C[C@@H](O)CO)cn1","ZINC000685951061",22,22
"C[C@H](C(N)=O)n1cc(N)nn1","ZINC000685952359",20,20
"C[C@@H](C(N)=O)n1cc(N)nn1","ZINC000685952360",20,20
"OC(O)CN1CCOCC1","ZINC000253496154",23,23
"C[C@@H]1NC(=O)[C@@H]2C[C@H](O)CN2C1=O","ZINC000253618181",25,26
"O[C@H]1[C@H]2O[C@H]2[C@@H](O)[C@@H](O)[C@H]1O","ZINC000253639162",21,22
"CN(C)[C@@H]1CC(=O)NC1=O","ZINC000100617237",20,20
"CN(C)[C@H]1CS(=O)(=O)C[C@H]1O","ZINC000004226930",24,24
"CN(C)c1nnnn1CC(N)=O","ZINC000001401595",22,22
"CN(C)n1c(N)cc(=O)[nH]c1=O","ZINC000000330414",22,22
"Nc1nc(NCCO)n[nH]1","ZINC000085420714",19,19
"CCN1CC(=O)NCC1=O","ZINC000078730892",20,20
"NC(=O)Cn1cnc(N)c1","ZINC000082410336",18,18
"C[C@H](C(N)=O)n1ncc(N)n1","ZINC000082406756",20,20
"C[C@@H](C(N)=O)n1ncc(N)n1","ZINC000082406755",20,20
"COCCN1C[C@H](CC1=O)C(N)=O","ZINC000012404734",27,27
"CN(N)c1cc(=O)n(C)c(=O)[nH]1","ZINC000000544529",22,22
"CN1C(=O)C[C@H](O)C1=O","ZINC000004538115",16,16
"CN1[C@@H]2NC(=S)N[C@H]2NC1=O","ZINC000001267719",19,20
"CN1[C@H]2N[C@H](O)N=N[C@@H]2N(C)C1=O","ZINC000001437218",24,25
"CN1[C@@H]2NC(=S)N[C@@H]2NC1=O","ZINC000001267718",19,20
"CN1[C@@H](O)[C@@H](O)N(C)C1=O","ZINC000012416633",20,20
"CN1[C@H]2N[C@@H](O)N=N[C@H]2N(C)C1=O","ZINC000001437219",24,25
"CN1C(=O)N(C)C(=O)C(O)(O)C1=O","ZINC000000967229",21,21
"CN1[C@H]2NC(=O)N(C)[C@@H]2NC1=O","ZINC000012416680",22,23
"CN1[C@@H]2N[C@@H](N)N=N[C@H]2N(C)C1=O","ZINC000004425213",25,26
"CN1[C@@H]2NC(=O)N[C@H]2NC1=O","ZINC000002267682",19,20
"CN1[C@H]2N=N[C@@H](O)N(C)[C@@H]2N(C)C1=O","ZINC000000492474",27,28
"CN1[C@H](O)[C@@H](O)NC1=S","ZINC000003883486",17,17
"CN1C(=O)[C@@H](CO)NC(=O)C1(C)C","ZINC000072233265",27,27
"CN1CCN(C)C(=O)C1=O","ZINC000005395677",20,20
"CN1CCN(CC(N)=O)CC1","ZINC000023253654",26,26
"CN1CCOC(CO)(CO)C1=O","ZINC000096024984",25,25
"O=C1C[C@@]2(CN1)CCC(=O)NC2=O","ZINC000601014784",23,24
"NNC(=S)N(CCO)CCO","ZINC000104549927",24,23
"O=C1C[C@]2(CN1)CCC(=O)NC2=O","ZINC000601014785",23,24
"CN1CCO[C@H](CO)C1=O","ZINC000096024974",21,21
"NC(=O)c1ncc[nH]c1=O","ZINC000000008657",15,15
"Cc1nc(C(N)=O)c(N)n1CCO","ZINC000000054248",25,25
"CN1[C@H]2NC(=O)N(C)[C@H]2NC1=O","ZINC000000069939",22,23
"CN1C(=O)C[C@]2(CNC(=O)C2)C1=O","ZINC000000068817",23,24
"CN1C(=O)C[C@@]2(CNC(=O)C2)C1=O","ZINC000000068814",23,24
"CN1[C@@H]2NC(=O)N(C)[C@@H]2NC1=O","ZINC000000069942",22,23
"Cc1cc(=O)n(CCO)c(=O)[nH]1","ZINC000000134813",22,22
"CN1[C@H]2[C@@H](NC1=O)NC(=O)N2C","ZINC000000184465",22,23
"CN1[C@H](O)[C@@H](O)N(C)C1=O","ZINC000000191027",20,20
"CN1[C@@H](O)[C@H](O)N(C)C1=O","ZINC000000191026",20,20
"CN1C(N)=NC(=O)C1(CO)CO","ZINC000000230361",23,23
"CC1(C)O[C@@H]([C@H](O1)C(N)=O)C(N)=O","ZINC000000261955",25,25
"Cc1c(N)c(=O)n(C)c(=O)n1C","ZINC000000330447",23,23
"Cc1c(N)n(C)c(=O)n(C)c1=O","ZINC000000330486",23,23
"CN1CC(=O)N(C)CC1=O","ZINC000000331663",20,20
"Cc1cc(=O)[nH]c(=O)n1CCO","ZINC000000334794",22,22
"Cc1[nH]c(=O)[nH]c(=O)c1CCO","ZINC000000335703",22,22
"CN1[C@@H]2NC(=O)N[C@H]2N(C)C1=O","ZINC000000333708",22,23
"CN(N)c1cc(=O)n(C)c(=O)n1C","ZINC000000381774",25,25
"CC[C@@H]1NC(=O)[C@@H]2C[C@H](O)CN2C1=O","ZINC000253618182",28,29
"COC(=O)[C@H]1C[C@H](O)[C@@H](O)[C@H](O)C1","ZINC000254044061",27,27
"CN(CCO)CCO","ZINC000000391210",21,20
"C[C@H]1NC(=O)[C@@H](CO)N(C)C1=O","ZINC000000392818",24,24
"C[C@H]1NC(=O)[C@H](CO)N(C)C1=O","ZINC000000392816",24,24
"CO[C@@H]1O[C@@H](OC)[C@@H](O)[C@H]1O","ZINC000000394407",23,23
"CNC(=O)CNC(C)=O","ZINC000000399466",19,18
"C[C@H]1C(=O)NCCS1(=O)=O","ZINC000000405396",19,19
"OCC1(CO)COCOC1","ZINC000000407035",22,22
"CNC(N)=C(C(=O)OC)C(=O)OC","ZINC000000436617",25,24
"CN1[C@@H]2N=N[C@@H](O)N(C)[C@@H]2N(C)C1=O","ZINC000000492476",27,28
"CN(C)c1nc(N)n(CCO)c(=O)n1","ZINC000000494371",27,27
"Cc1cc(=O)n(N)c(N)n1","ZINC000000497576",18,18
"CN1[C@H]2N=N[C@@H](O)N(C)[C@H]2N(C)C1=O","ZINC000000492475",27,28
"OC[C@@H](O)[C@@H]1OC(=O)[C@H](O)[C@H]1O","ZINC000000895502",22,22
"OC[C@H](O)[C@@H]1OC(=O)[C@H](O)[C@@H]1O","ZINC000000895467",22,22
"NC(=O)c1nccnc1C(N)=O","ZINC000000967329",18,18
"CN1CC(=O)N=C1N","ZINC000000967189",15,15
"CC(=O)Nc1c(N)[nH]c(=O)[nH]c1=O","ZINC000000967237",21,21
"COC1CN(C1)S(N)(=O)=O","ZINC000095644793",20,20
"COC[C@@H]([NH3+])c1nnn[nH]1","ZINC000095190634",19,19
"OCCS(=O)CCO","ZINC000001066122",18,17
"COC[C@H]([NH3+])c1nnn[nH]1","ZINC000095190633",19,19
"NC(=O)c1nnc(N)o1","ZINC000001080906",13,13
"NC(=O)c1nonc1NC=O","ZINC000001052725",15,15
"C[C@@]1(O)CS(=O)(=O)C[C@@]1(C)O","ZINC000001086370",23,23
"CN1[C@H]2N[C@@H](N)N=N[C@H]2N(C)C1=O","ZINC000001300240",25,26
"Cc1nnc(=O)[nH]c1NN","ZINC000001245927",17,17
"CN1[C@H]2NC(=S)N[C@H]2NC1=O","ZINC000001267717",19,20
"CN1[C@H]2NC(=S)N[C@@H]2NC1=O","ZINC000001267716",19,20
"CN(C)c1nnnn1N(C)C","ZINC000001387307",23,23
"Cc1cc(=O)n(N)c(NN)n1","ZINC000001407687",20,20
"CNC(=O)c1nnn(C)c1N","ZINC000001417947",20,20
"CN1[C@@H]2N[C@@H](O)N=N[C@@H]2N(C)C1=O","ZINC000001437220",24,25
"CN1[C@@H]2N[C@@H](O)N=N[C@H]2N(C)C1=O","ZINC000001437221",24,25
"CN(C)C(CO)(CO)CO","ZINC000001460940",25,24
"C[C@H](O)C(N)=O","ZINC000001457069",13,12
"OCCn1c2nonc2c(=O)[nH]c1=O","ZINC000001508184",20,21
"C[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","ZINC000001532676",23,23
"CNC(=O)CC[C@H]([NH3+])C(O)=O","ZINC000001529600",23,22
"OC[C@@H]1OC(=O)[C@@H](O)[C@H](O)[C@H]1O","ZINC000001532566",22,22
"C[C@H]([NH3+])C(=O)N[C@H](CO)C(O)=O","ZINC000001575551",24,23
"C[C@H]([NH3+])C(=O)N[C@H](C)C(O)=O","ZINC000001575495",23,22
"C[C@H]([NH3+])C(=O)N[C@@H](C)C(O)=O","ZINC000001575493",23,22
"C[C@H]([NH3+])C(=O)N[C@@H](CO)C(O)=O","ZINC000001575549",24,23
"C[C@@H]([NH3+])C(=O)N[C@@H](C)C(O)=O","ZINC000001575494",23,22
"CNC(=O)CC[C@@H]([NH3+])C(O)=O","ZINC000001583691",23,22
"CN1C(=O)C(=O)N(C)C(=O)C1=O","ZINC000001582626",18,18
"CNC(=O)C(=O)NC","ZINC000001639558",16,15
"CN1CC(=O)NCC1=O","ZINC000001586823",17,17
"CNC(=O)C(=O)NCCO","ZINC000003072875",20,19
"CCN1C(=O)CNCC1=O","ZINC000049804467",20,20
"OC[C@@H]1NC(=O)NC1=O","ZINC000001603599",15,15
"O=c1[nH]c2c(nc[nH]c2=O)c(=O)[nH]1","ZINC000001604353",17,18
"C[C@H](O)[C@@H](NC(=O)C[NH3+])C(O)=O","ZINC000001605653",24,23
"O[C@H]1NC(=O)NC(=O)[C@H]1F","ZINC000001607176",15,15
"O[C@@H]1NC(=O)NC(=O)[C@@H]1F","ZINC000001607175",15,15
"O[C@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O","ZINC000001621862",20,21
"CNC(=O)CN1C(=O)CCC1=O","ZINC000002519697",22,22
"[NH3+]CCC(=O)NCCC(O)=O","ZINC000001637971",23,22
"CNC(=O)NC(N)=O","ZINC000001646609",15,14
"Nc1[nH]c(=O)[nH]c(=O)c1N","ZINC000001666585",16,16
"OC1CS(=O)(=O)C1","ZINC000001674463",13,13
"CC1=CC(=O)N(NC(N)=O)C1=O","ZINC000001681056",19,19
"C[C@H]([NH+]=C(N)N)C(O)=O","ZINC000001688252",18,17
"CN(C)[C@@H](N)N=N","ZINC000001698558",17,16
"C[C@H](O)C(=O)N(CCO)CCO","ZINC000001698676",27,26
"Cc1[nH]c(=O)[nH]c(=O)c1NCCO","ZINC000001697592",24,24
"C[C@H](O)[C@H](O)CO","ZINC000001701739",17,16
"C[C@H](O)C(=O)NCCO","ZINC000001712677",20,19
"CNC(=O)CO","ZINC000001712878",13,12
"C[C@H](O)C(=O)OC[C@H](O)CO","ZINC000001718583",23,22
"C[C@H](NC(=O)CC[NH3+])C(O)=O","ZINC000001731763",23,22
"CN(CC(O)=O)C(=O)C[NH3+]","ZINC000001742265",20,19
"C[C@H](O)[C@H]([NH3+])C(O)=O","ZINC000001747072",17,16
"NC(=O)CC(O)(CC(N)=O)C(N)=O","ZINC000001846016",24,23
"CNC(=O)NCCO","ZINC000039644176",18,17
"Cc1c(NCCO)[nH]c(=O)[nH]c1=O","ZINC000001896239",24,24
"C[C@H]([NH3+])C(=O)NCC(O)=O","ZINC000001888744",20,19
"Cc1c(N)[nH]c(=O)[nH]c1=O","ZINC000002020172",17,17
"CC1(C)N(CO)C(=O)N(CO)C1=O","ZINC000002033948",25,25
"C[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","ZINC000002042981",23,23
"C[C@]([NH3+])(CO)C(O)=O","ZINC000002042820",17,16
"C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O","ZINC000002042980",23,23
"C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO","ZINC000002046963",25,24
"CNC(=O)[C@@H](O)[C@@H](O)C(=O)NC","ZINC000017877790",24,23
"C[NH2+]CC(=O)N[C@@H](C)C(O)=O","ZINC000002169803",23,22
"C[NH2+]CC(=O)N[C@H](C)C(O)=O","ZINC000002169804",23,22
"CN1[C@H]2NC(=O)N[C@@H]2NC1=O","ZINC000002267679",19,20
"CN1[C@@H]2NC(=O)N[C@@H]2NC1=O","ZINC000002267681",19,20
"Cc1nc(NN)[nH]c(=O)c1CCO","ZINC000002243963",25,25
"C[C@]12NC(=O)N[C@H]1NC(=O)N2","ZINC000002272240",19,20
"C[C@@H](O)[C@H](NC(=O)[C@H](C)[NH3+])C(O)=O","ZINC000002242978",27,26
"CN1[C@H]2NC(=O)N[C@H]2NC1=O","ZINC000002267680",19,20
"Cc1nnc2nc(N)nc(N)n12","ZINC000002308063",19,20
"Cc1nnc(SCC(N)=O)n1N","ZINC000002339060",21,21
"C[C@H](NC(=O)[C@@H]([NH3+])CO)C(O)=O","ZINC000002384800",24,23
"CNC(=O)[C@@H](O)[C@H](O)C(=O)NC","ZINC000002471480",24,23
"C[C@H]([NH3+])C(=O)NCCC(O)=O","ZINC000002390897",23,22
"CNC(=O)[C@H](O)[C@@H](O)C(=O)NC","ZINC000002471484",24,23
"NS(=O)(=O)N1CC(F)C1","ZINC000095726765",16,16
"CO[C@@H]1O[C@H]2[C@H](O)C(=O)O[C@H]2[C@@H]1O","ZINC000005669969",23,24
"NS(=O)(=O)N1CC1","ZINC000095726768",13,13
"Cc1nnc(N)n1N","ZINC000002511426",15,15
"CN1CCNS1(=O)=O","ZINC000002524421",16,16
"CC[C@H]([NH3+])C(=O)NCC(O)=O","ZINC000002560916",23,22
"C[NH2+]CC(=O)N(C)CC(O)=O","ZINC000002561165",23,22
"CNC(=O)c1nc(N)n[nH]1","ZINC000019844301",17,17
"NC(=O)c1cnn(CCO)c1","ZINC000306963371",20,20
"Cc1c(N)n(C)c(=O)[nH]c1=O","ZINC000002576756",20,20
"CN(C=O)c1c(N)[nH]c(=O)n(C)c1=O","ZINC000002576758",24,24
"CN1[C@@H](O)[C@@H](O)NC1=S","ZINC000002585578",17,17
