"Molecule","Molecule name","Atom count","Bond count"
"Nn1c(=O)cn[nH]c1=S","ZINC000100552896",12,12
"Nn1c(CO)n[nH]c1=S","ZINC000005454352",14,14
"CC(=O)c1c(O)n(C)c(=O)[nH]c1=O","ZINC000009190168",20,20
"OC(=O)[C@H]1C[C@@H](C[NH2+]1)P(O)(O)=O","ZINC000206240683",21,21
"OC(=O)[C@H]1C[C@H](C[NH2+]1)P(O)(O)=O","ZINC000206240710",21,21
"OCCN(CCO)CC(O)=O","ZINC000001683490",23,22
"OCC(CO)(CO)NCC(O)=O","ZINC000001587260",24,23
"OC(=O)CN[C@H]1CS(=O)(=O)C=C1","ZINC000004298575",20,20
"OC(=O)Cn1nnc(=O)[nH]1","ZINC000004127029",13,13
"OC(=O)Cn1ncc(=O)[nH]c1=O","ZINC000082720913",16,16
"OC(=O)Cc1nn[nH]n1","ZINC000005178980",12,12
"OC(=O)[C@@H]1C[C@@H](C[NH2+]1)P(O)(O)=O","ZINC000035034910",21,21
"O=c1nc2[nH]c(=O)[nH]c(=O)c2n[nH]1","ZINC000012428232",15,16
"OC(=O)c1cc(=O)[nH][nH]1","ZINC000019702352",12,12
"O=c1[nH]c2nc[nH]c(=O)c2[nH]1","ZINC000013543038",14,15
"OCc1nc(O)cc(=O)[nH]1","ZINC000017287835",15,15
"OC1(O)NC(=O)NC(=O)C1=O","ZINC000001896477",14,14
"O=C1N[C@H]2Nc3nonc3N[C@H]2N1","ZINC000013464824",18,20
"Oc1[nH]c(=O)[nH]c(=O)c1F","ZINC000039053781",12,12
"OCc1nn[nH]n1","ZINC000039307421",10,10
"COC(=O)[C@@H]1CS(=O)(=O)N1","ZINC000238342643",16,16
"COC(=O)[C@H]1CS(=O)(=O)N1","ZINC000238334791",16,16
"OCc1cnnn1-c1no[nH]\c1=N/O","ZINC000075253124",19,20
"CN(C)C[C@@H](O)S(O)(O)O","ZINC000095093158",20,19
"CN(C)C[C@H](O)S(O)(O)O","ZINC000095093159",20,19
"OC(=O)[C@@H]1C[C@@H](C[NH2+]1)c1nn[nH]n1","ZINC000095122995",21,22
"CCC1(CO)C(=O)NC(=O)NC1=O","ZINC000238232327",22,22
"CC(=O)Nc1c(N)[nH]c(=O)[nH]c1=O","ZINC000000967237",20,20
"O=c1[nH]c2c(nc[nH]c2=O)c(=O)[nH]1","ZINC000001604353",16,17
"OC(=O)c1[nH]c(=O)[nH]c(=O)c1F","ZINC000001663959",14,14
"CC1=CC(=O)N(NC(N)=O)C1=O","ZINC000001681056",18,18
"Nc1nn2c(nc(O)cc2=O)[nH]1","ZINC000108299344",16,17
"Cc1nc(NN)[nH]c(=O)c1CCO","ZINC000002243963",24,24
"C[C@H](NC(=O)[C@@H](N)CO)C(O)=O","ZINC000002384800",23,22
"Cc1nc2c(nc(N)[nH]c2=O)[nH]c1=O","ZINC000005503697",21,22
"C[NH2+]CCc1nnn[nH]1","ZINC000042191814",18,18
"OC[C@H]1COCCN1","ZINC000004202898",19,19
"OC[C@@H]1COCCN1","ZINC000004202897",19,19
"OC(=O)C[C@@H]1[NH2+]CCNC1=O","ZINC000004291485",21,21
"O=N(=O)C1=NNNN1Cc1nn[nH]n1","ZINC000009972308",19,20
"NC(=O)c1ncn[nH]1","ZINC000011612727",12,12
"NC(=O)c1nc[nH]n1","ZINC000011612727",12,12
